City,State,Restaurant Name,Dish Name,Dish Category,Restaurant Address,Price,Menu Description,Ingredients,Calories,Protein,Fibre,Sugar,Diet Type,Cooking Method,Gluten-Free,Seed-Oil-Free,Fresh Ingredients,Source,Source URL,Date Collected
Mumbai,Maharashtra,Bombay Salad Co,The Samurai Salad,Salad,Bandra Mumbai,450,Soba noodles with tofu and teriyaki dressing,Tofu|Soba Noodles|Greens,NULL,NULL,NULL,NULL,Vegan,Raw,Unknown,Unknown,Yes,Official Website,https://bombaysalad.com,2026-09-07
Mumbai,Maharashtra,Sequel,The Wholesome Bowl,Bowl,Bandra Mumbai,650,Organic quinoa with roasted veggies and avocado,Quinoa|Avocado|Sweet Potato,NULL,NULL,NULL,NULL,Vegan,Roasted,Yes,Yes,Yes,Official Website,https://sequelmumbai.in,2026-09-07
Mumbai,Maharashtra,Greenr Cafe,Beijing Black Soba Earth Bowl,Bowl,Bandra Mumbai,735,Soba noodles with tofu and edamame,Soba|Tofu|Edamame|Broccoli,NULL,NULL,NULL,NULL,Vegan,Raw,Unknown,Unknown,Yes,JustDial,https://www.justdial.com/Mumbai/Greenr-Cafe,2026-09-07
Mumbai,Maharashtra,EatFit,Classic Moong Dal & Rice,Main,Lower Parel Mumbai,220,Simple comforting lentil and rice bowl,Moong Dal|Rice,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Bengaluru,Karnataka,Sante Spa Cuisine,Mediterranean Quinoa Salad,Salad,Indiranagar Bengaluru,540,Quinoa with apples walnuts and cranberries,Quinoa|Apples|Walnuts|Cranberries,NULL,NULL,NULL,NULL,Vegetarian,Raw,Yes,Unknown,Yes,JustDial,https://www.justdial.com/Bengaluru/Sante-Spa-Cuisine,2026-09-07
Bengaluru,Karnataka,FreshMenu,Grilled Chicken Steak,Main,Koramangala Bengaluru,350,Lean grilled chicken steak with veggies,Chicken Breast|Veggies,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://www.freshmenu.com,2026-09-07
Bengaluru,Karnataka,EatFit,Chicken Tikka Super Bowl,Bowl,Indiranagar Bengaluru,450,Healthy tandoori chicken bowl with millet,Chicken|Millet|Veggies,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Bengaluru,Karnataka,Cult.fit,Protein Packed Paneer Bowl,Bowl,HSR Layout Bengaluru,320,Paneer with high fibre grains,Paneer|Brown Rice|Greens,NULL,NULL,NULL,NULL,Vegetarian,Grilled,Unknown,Unknown,Yes,Official Website,https://www.cult.fit,2026-09-07
Bengaluru,Karnataka,Fabcafe,Mutton Galouti Kebab,Starter,Jayanagar Bengaluru,650,Pan grilled low fat mutton kebabs,Mutton|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Unknown,Unknown,Yes,EazyDiner,https://www.eazydiner.com/bengaluru/fabcafe,2026-09-07
Hyderabad,Telangana,Fabcafe,Dal Makhani No Cream,Main,Banjara Hills Hyderabad,380,Healthy version of dal makhani cooked without butter,Urad Dal|Tomato|Spices,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,EazyDiner,https://www.eazydiner.com/hyderabad/fabcafe,2026-09-07
Hyderabad,Telangana,Salad Chef,Greek Salad,Salad,Jubilee Hills Hyderabad,280,Fresh veggies with feta cheese,Cucumber|Tomato|Feta|Olives,NULL,NULL,NULL,NULL,Vegetarian,Raw,Yes,Unknown,Yes,Official Website,https://saladchef.in,2026-09-07
Hyderabad,Telangana,EatFit,Palak Paneer & Millet Khichdi,Main,Madhapur Hyderabad,320,Nutritious palak paneer over millet khichdi,Spinach|Paneer|Millet,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Hyderabad,Telangana,Barbeque Nation,Grilled Fish,Starter,Banjara Hills Hyderabad,800,Fish fillets marinated and grilled,Fish|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://www.barbequenation.com,2026-09-07
Hyderabad,Telangana,Subway,Roasted Chicken Salad,Salad,Gachibowli Hyderabad,320,Roasted chicken breast with garden greens,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Roasted,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Chennai,Tamil Nadu,Sante Spa Cuisine,Cauliflower Rice Nasi Goreng Bowl,Bowl,Besant Nagar Chennai,480,Ketosis friendly vegetable bowl,Cauliflower Rice|Veggies|Peanuts,NULL,NULL,NULL,NULL,Vegan,Grilled,Yes,Unknown,Yes,MagicPin,https://magicpin.in/Chennai/Besant-Nagar/Sante-Spa-Cuisine,2026-09-07
Chennai,Tamil Nadu,Pumpkin Tales,Vegan Buddha Bowl,Bowl,Bheemanna Mudali Garden Chennai,550,Assorted steamed greens with quinoa,Quinoa|Broccoli|Sweet Potato,NULL,NULL,NULL,NULL,Vegan,Steamed,Yes,Unknown,Yes,Official Website,https://pumpkintales.com,2026-09-07
Chennai,Tamil Nadu,The Summer House Eatery,Grilled Chicken Breast,Main,Alwarpet Chennai,480,Grilled chicken served with steamed vegetables,Chicken Breast|Veggies,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://summerhouseeatery.com,2026-09-07
Chennai,Tamil Nadu,EatFit,Fruit Pop Oatmeal Bowl,Breakfast,Nungambakkam Chennai,220,High fibre oatmeal with fresh fruits,Oats|Apple|Banana|Chia,NULL,NULL,NULL,NULL,Vegetarian,Raw,Unknown,Yes,Yes,Official Website,https://www.eatfit.in,2026-09-07
Chennai,Tamil Nadu,Subway,Tandoori Chicken Salad,Salad,Adyar Chennai,320,Tandoori chicken strips with fresh veggies,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Kolkata,West Bengal,The Daily Cafe,Avocado Toast on Sourdough,Breakfast,Desapriya Park Kolkata,380,Mashed avocado on toasted sourdough bread,Avocado|Sourdough|Lemon,NULL,NULL,NULL,NULL,Vegan,Baked,Unknown,Unknown,Yes,Official Website,https://thedailycafe.in,2026-09-07
Kolkata,West Bengal,Ubuntu Eat,Vegan Mutton Curry,Main,Hindustan Park Kolkata,350,Soya based protein rich vegan curry,Soya Chunks|Tomato|Spices,NULL,NULL,NULL,NULL,Vegan,Steamed,Unknown,Unknown,Yes,Official Website,https://ubuntueat.com,2026-09-07
Kolkata,West Bengal,Fabcafe,Kashmiri Mutton Curry,Main,Park Street Kolkata,650,Low oil mutton curry with traditional spices,Mutton|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Steamed,Unknown,Unknown,Yes,EazyDiner,https://www.eazydiner.com/kolkata/fabcafe,2026-09-07
Kolkata,West Bengal,EatFit,Egg White & Chicken Keema Bowl,Bowl,Salt Lake Kolkata,350,High protein egg whites with lean chicken keema,Egg Whites|Chicken Keema|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Steamed,Unknown,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Kolkata,West Bengal,Subway,Veggie Delite Salad,Salad,Ballygunge Kolkata,250,Fresh mixed greens and vegetables,Lettuce|Tomato|Cucumber|Olives,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Pune,Maharashtra,Sante Spa Cuisine,The Vegan Raw Buddha Bowl,Bowl,Koregaon Park Pune,580,Raw mix of greens beet carrots and sprouts,Greens|Beet|Avocado|Sprouts|Peanuts,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Yes,Yes,JustDial,https://www.justdial.com/Pune/Sante-Spa-Cuisine,2026-09-07
Pune,Maharashtra,Chafa Cafe,Grilled Red Snapper,Main,Koregaon Park Pune,650,Fresh fish grilled with herbs,Red Snapper|Herbs|Olive Oil,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://chafacafe.com,2026-09-07
Pune,Maharashtra,Tien,Smoked Chicken Salad,Salad,Model Colony Pune,420,Smoked chicken with fresh greens,Chicken|Mixed Greens,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Unknown,Unknown,Yes,Official Website,https://tienpune.com,2026-09-07
Pune,Maharashtra,EatFit,Chicken Tikka Super Bowl,Bowl,Viman Nagar Pune,450,Healthy tandoori chicken bowl with millet,Chicken|Millet|Veggies,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Pune,Maharashtra,Subway,Paneer Tikka Salad,Salad,Kalyani Nagar Pune,300,Paneer tikka cubes tossed with fresh salad,Paneer|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Ahmedabad,Gujarat,The Green House,Jain Quinoa & Sprouted Moong Salad,Salad,Navrangpura Ahmedabad,380,No root vegetables quinoa and sprouts salad,Quinoa|Sprouts|Lemon,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Unknown,Yes,Official Website,https://thegreenhouse.com,2026-09-07
Ahmedabad,Gujarat,Sante Spa Cuisine,Blackened Edamame Burger,Main,Sindhu Bhavan Ahmedabad,550,Charcoal bun with edamame beans and roasted mushrooms,Edamame|Mushroom|Charcoal Bun,NULL,NULL,NULL,NULL,Vegan,Baked,Unknown,Unknown,Yes,JustDial,https://www.justdial.com/Ahmedabad/Sante-Spa-Cuisine,2026-09-07
Ahmedabad,Gujarat,Swati Snacks,Panki,Main,Law Garden Ahmedabad,250,Rice flour batter steamed in banana leaves,Rice Flour|Spices,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://swatisnacks.com,2026-09-07
Ahmedabad,Gujarat,EatFit,Classic Moong Dal & Rice,Main,Chandkheda Ahmedabad,220,Simple comforting lentil and rice bowl,Moong Dal|Rice,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Ahmedabad,Gujarat,Subway,Roasted Chicken Salad,Salad,Vastrapur Ahmedabad,320,Roasted chicken breast with garden greens,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Roasted,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Jaipur,Rajasthan,Anokhi Cafe,Organic Carrot & Beetroot Salad,Salad,C Scheme Jaipur,300,Freshly grated organic root vegetables,Carrot|Beetroot|Lemon,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Unknown,Yes,Official Website,https://anokhicafe.com,2026-09-07
Jaipur,Rajasthan,OTH,Grilled Chicken with Quinoa,Main,Malviya Nagar Jaipur,450,Grilled chicken breast with cooked quinoa,Chicken Breast|Quinoa,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://othjaipur.com,2026-09-07
Jaipur,Rajasthan,Fabcafe,Veggie Nutty Salad,Salad,C Scheme Jaipur,350,Fresh crunchy vegetables with nuts,Mixed Veggies|Almonds|Walnuts,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Unknown,Yes,EazyDiner,https://www.eazydiner.com/jaipur/fabcafe,2026-09-07
Jaipur,Rajasthan,EatFit,Palak Paneer & Millet Khichdi,Main,Sikar Road Jaipur,320,Nutritious palak paneer over millet khichdi,Spinach|Paneer|Millet,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Jaipur,Rajasthan,Subway,Tandoori Chicken Salad,Salad,Raja Park Jaipur,320,Tandoori chicken strips with fresh veggies,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Chandigarh,Chandigarh,AJA Fresh,Grilled Sweet Potato & Tofu,Bowl,Sector 9 Chandigarh,380,Grilled tofu and sweet potato with herbs,Tofu|Sweet Potato|Herbs,NULL,NULL,NULL,NULL,Vegan,Grilled,Yes,Unknown,Yes,Official Website,https://ajafresh.com,2026-09-07
Chandigarh,Chandigarh,Virgin Courtyard,Oven Baked Sea Bass,Main,Sector 7 Chandigarh,750,Baked sea bass with steamed asparagus,Sea Bass|Asparagus,NULL,NULL,NULL,NULL,Non-Vegetarian,Baked,Yes,Unknown,Yes,Official Website,https://virgincourtyard.com,2026-09-07
Chandigarh,Chandigarh,Salad Days,Mediterranean Chickpea Salad,Salad,Sector 17 Chandigarh,320,High protein chickpea and cucumber salad,Chickpeas|Cucumber|Tomato|Feta,NULL,NULL,NULL,NULL,Vegetarian,Raw,Yes,Unknown,Yes,Official Website,https://saladdays.co,2026-09-07
Chandigarh,Chandigarh,EatFit,Fruit Pop Oatmeal Bowl,Breakfast,Sector 17 Chandigarh,220,High fibre oatmeal with fresh fruits,Oats|Apple|Banana|Chia,NULL,NULL,NULL,NULL,Vegetarian,Raw,Unknown,Yes,Yes,Official Website,https://www.eatfit.in,2026-09-07
Chandigarh,Chandigarh,Barbeque Nation,Grilled Chicken Tikka,Starter,Sector 26 Chandigarh,800,Chicken marinated in yogurt and spices then grilled,Chicken|Yogurt|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Yes,Unknown,Yes,Official Website,https://www.barbequenation.com,2026-09-07
Lucknow,Uttar Pradesh,The Cherry Tree,Grilled Chicken Salad,Salad,Hazratganj Lucknow,350,Grilled chicken breast chunks over greens,Chicken Breast|Lettuce|Tomato,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://thecherrytree.in,2026-09-07
Lucknow,Uttar Pradesh,Royal Sky,Tandoori Chicken,Starter,Hazratganj Lucknow,450,Traditional clay oven roasted chicken,Chicken|Spices|Yogurt,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Yes,Unknown,Yes,Official Website,https://royalsky.in,2026-09-07
Lucknow,Uttar Pradesh,EatFit,Egg White & Chicken Keema Bowl,Bowl,Gomti Nagar Lucknow,350,High protein egg whites with lean chicken keema,Egg Whites|Chicken Keema|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Steamed,Unknown,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Lucknow,Uttar Pradesh,Subway,Veggie Delite Salad,Salad,Gomti Nagar Lucknow,250,Fresh mixed greens and vegetables,Lettuce|Tomato|Cucumber|Olives,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Lucknow,Uttar Pradesh,Faasos,Moong Dal Chilla,Breakfast,Aliganj Lucknow,150,High protein lentil pancake,Moong Dal|Herbs,NULL,NULL,NULL,NULL,Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://www.faasos.com,2026-09-07
Indore,Madhya Pradesh,O2 Cafe,Steamed Sprouts Chaat,Salad,Vijay Nagar Indore,180,Steamed mixed sprouts with lemon and tomatoes,Mixed Sprouts|Tomato|Lemon,NULL,NULL,NULL,NULL,Vegan,Steamed,Yes,Yes,Yes,Official Website,https://o2cafe.in,2026-09-07
Indore,Madhya Pradesh,Mama Loca,Grilled Fish with Herbs,Main,New Palasia Indore,450,Lean fish grilled with fresh herbs,Fish|Herbs|Lemon,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://mamaloca.in,2026-09-07
Indore,Madhya Pradesh,EatFit,Chicken Tikka Super Bowl,Bowl,Bhawarkua Indore,450,Healthy tandoori chicken bowl with millet,Chicken|Millet|Veggies,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Indore,Madhya Pradesh,Subway,Paneer Tikka Salad,Salad,Vijay Nagar Indore,300,Paneer tikka cubes tossed with fresh salad,Paneer|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Indore,Madhya Pradesh,Barbeque Nation,Grilled Prawns,Starter,Vijay Nagar Indore,800,Marinaded prawns grilled on skewers,Prawns|Spices,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://www.barbequenation.com,2026-09-07
Surat,Gujarat,Sante Spa Cuisine,Mediterranean Quinoa Salad,Salad,Vesu Surat,540,Quinoa with apples walnuts and cranberries,Quinoa|Apples|Walnuts|Cranberries,NULL,NULL,NULL,NULL,Vegetarian,Raw,Yes,Unknown,Yes,JustDial,https://www.justdial.com/Surat/Sante-Spa-Cuisine,2026-09-07
Surat,Gujarat,Meraki,High-Protein Bajra Chilla,Breakfast,Vesu Surat,250,Savoury pearl millet pancake,Bajra|Spices,NULL,NULL,NULL,NULL,Vegan,Grilled,Yes,Unknown,Yes,Official Website,https://meraki.in,2026-09-07
Surat,Gujarat,EatFit,Palak Paneer & Millet Khichdi,Main,Vesu Surat,320,Nutritious palak paneer over millet khichdi,Spinach|Paneer|Millet,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Surat,Gujarat,Subway,Roasted Chicken Salad,Salad,Piplod Surat,320,Roasted chicken breast with garden greens,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Roasted,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Surat,Gujarat,Faasos,Oats & Moong Dal Chilla,Breakfast,Adajan Surat,160,Oats and lentil based healthy pancake,Oats|Moong Dal,NULL,NULL,NULL,NULL,Vegetarian,Grilled,Unknown,Unknown,Yes,Official Website,https://www.faasos.com,2026-09-07
Kochi,Kerala,Kashi Art Cafe,Slow-Cooked Mutton Stew,Main,Fort Kochi Kochi,450,Lightly spiced mutton stew with coconut milk,Mutton|Coconut Milk|Veggies,NULL,NULL,NULL,NULL,Non-Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://kashiartcafe.com,2026-09-07
Kochi,Kerala,French Toast,Poached Eggs on Avocado Toast,Breakfast,Panampilly Nagar Kochi,350,Whole wheat toast with avocado and poached eggs,Eggs|Avocado|Whole Wheat Bread,NULL,NULL,NULL,NULL,Non-Vegetarian,Baked,Unknown,Unknown,Yes,Official Website,https://frenchtoast.in,2026-09-07
Kochi,Kerala,Cocoa Tree,Grilled Chicken Salad,Salad,Panampilly Nagar Kochi,380,Grilled chicken over crisp lettuce and tomatoes,Chicken Breast|Lettuce|Tomato,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://cocoatree.in,2026-09-07
Kochi,Kerala,EatFit,Classic Moong Dal & Rice,Main,Edappally Kochi,220,Simple comforting lentil and rice bowl,Moong Dal|Rice,NULL,NULL,NULL,NULL,Vegetarian,Steamed,Yes,Unknown,Yes,Official Website,https://www.eatfit.in,2026-09-07
Kochi,Kerala,Subway,Tandoori Chicken Salad,Salad,MG Road Kochi,320,Tandoori chicken strips with fresh veggies,Chicken|Lettuce|Tomato|Cucumber,NULL,NULL,NULL,NULL,Non-Vegetarian,Tandoori,Unknown,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
Coimbatore,Tamil Nadu,The French Door,Baked Mushroom Caps,Starter,RS Puram Coimbatore,280,Mushrooms stuffed with herbs and baked,Mushroom|Herbs|Garlic,NULL,NULL,NULL,NULL,Vegetarian,Baked,Yes,Unknown,Yes,Official Website,https://thefrenchdoor.in,2026-09-07
Coimbatore,Tamil Nadu,Bird on Tree,Grilled Fish Fillet,Main,Race Course Coimbatore,450,Fresh fish fillet grilled with minimal oil,Fish|Herbs,NULL,NULL,NULL,NULL,Non-Vegetarian,Grilled,Yes,Unknown,Yes,Official Website,https://birdontree.com,2026-09-07
Coimbatore,Tamil Nadu,EatFit,Fruit Pop Oatmeal Bowl,Breakfast,Peelamedu Coimbatore,220,High fibre oatmeal with fresh fruits,Oats|Apple|Banana|Chia,NULL,NULL,NULL,NULL,Vegetarian,Raw,Unknown,Yes,Yes,Official Website,https://www.eatfit.in,2026-09-07
Coimbatore,Tamil Nadu,Subway,Veggie Delite Salad,Salad,RS Puram Coimbatore,250,Fresh mixed greens and vegetables,Lettuce|Tomato|Cucumber|Olives,NULL,NULL,NULL,NULL,Vegan,Raw,Yes,Unknown,Yes,Official Website,https://www.subway.com/en-IN,2026-09-07
