Dish ID,Dish Name,Restaurant,Restaurant Address,City,Country,Postal Code (ZIP / PIN),Meal Category,Dietary Pattern,Macro Tier,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g),Net Carbs (g),Estimated Sugar (g),Cooking Fat,Seed-Oil Free,Gluten-Free,Keto-Friendly,Grass-Fed / Pastured,Dairy-Free,Diet Tags,Key Ingredients,Health Highlights,Price,Rating,Reviews Count,Chef & Verification Notes,Latitude,Longitude
in-delhi-110048-1,Steamed Ragi Mudde with Huruli (Horsegram) Saaru,Karnataka Millets (Greater Kailash 1),"M-Block Market, GK 1, Delhi, Delhi 110048",Delhi,India,110048,Ancient Millets & Ayurvedic Staples,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),290,23,38,4,12,26,5,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Finger millet (ragi) whole grain flour; horsegram (kulthi) slow broth; crushed peppercorns; fresh coriander roots; curry leaf tadka,23g High-Protein Broth; Pure A2 Cow Ghee; Zero Seed Oils; 12g High Fiber; 100% Gluten-Free,₹313,4.7,389,Legendary Ayurvedic endurance staple. Steamed mineral-rich ragi ball paired with high-protein horsegram broth. Zero seed oils.,28.62514,77.21819
in-delhi-110048-2,High-Protein Sattu & Roasted Jeera Buttermilk Bowl,Bihar Sattu & Grain (Greater Kailash 1),"M-Block Market, GK 1, Delhi, Delhi 110048",Delhi,India,110048,Pulse & Sprouted Legumes,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),270,24,30,5,9,21,4,Cold-Pressed Kachi Ghani Mustard Oil,YES,YES,NO,NO,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Toasted Bengal gram (sattu) flour; churned A2 cow milk chaas; finely chopped shallots & green chilies; kala namak; roasted cumin,24g Clean Pulse Protein; Probiotic Chaas; Zero Seed Oils; 9g Prebiotic Fiber; 100% Gluten-Free,₹197,4.8,168,Cooling powerhouse protein meal with roasted chana flour suspended in churned dahi. Extremely low glycemic index and 100% gluten-free.,28.62067,77.20737
in-delhi-110048-3,Desi Clay Oven Chicken Tikka (Zero Batter),Fabcafe (Greater Kailash 1),"M-Block Market, GK 1, Delhi, Delhi 110048",Delhi,India,110048,Clay Oven & Fire Grills,High-Protein Omnivore / Paleo,Super-High Protein (45g+),380,46,12,12,4,8,1,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Pasture-raised chicken breast; hung cow milk dahi; Kashmiri degi mirch; roasted ajwain; kassori methi; fresh lemon,46g Clean Protein; Zero Seed Oils; Clay Oven Roasting; Zero Added Sugar; 100% Gluten-Free,₹352,4.9,133,"Boneless chicken breast steeped in hung curd, ginger-garlic, and cold-ground spices. Roasted in traditional clay tandoor without maida or food colors.",28.60303,77.21002
in-delhi-110048-4,Organic Palak Paneer & Foxtail Millet Khichdi,EatFit Organic (Greater Kailash 1),"M-Block Market, GK 1, Delhi, Delhi 110048",Delhi,India,110048,Ancient Millets & Ayurvedic Staples,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),390,26,36,14,9,27,4,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted foxtail millet; pure cow milk paneer cubes; slow-simmered spinach purée; roasted jeera; pink Himalayan salt,26g Dairy & Millet Protein; Pure A2 Cow Ghee; Zero Seed Oils; 9g Dietary Fiber; 100% Gluten-Free,₹270,4.8,398,"Prebiotic superfood bowl cooked with mineral-dense foxtail millets and iron-rich baby spinach. Zero refined oils, naturally gluten-free.",28.61884,77.22272
in-delhi-110048-5,High-Protein Sprouted Moong & Kala Chana Chaat,Healthy Bites (Greater Kailash 1),"M-Block Market, GK 1, Delhi, Delhi 110048",Delhi,India,110048,Pulse & Sprouted Legumes,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),260,22,32,4,11,21,4,Cold-Pressed Kachi Ghani Mustard Oil,YES,YES,NO,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted whole green moong; boiled black chana; diced cucumber & tomatoes; pomegranate arils; fresh lime juice; rock salt,22g Clean Pulse Protein; Raw / Cold-Pressed Mustard Oil; Zero Seed Oils; 11g High Fiber; 100% Gluten-Free,₹376,4.8,305,Bioavailable sprouted pulse chaat tossed raw with digestive roasted cumin and cold-pressed Kachi Ghani oil. Zero cooking loss of vitamins.,28.61591,77.19914
in-delhi-110057-1,Organic Palak Paneer & Foxtail Millet Khichdi,EatFit Organic (Vasant Vihar),"Priya Cinema Complex, Vasant Vihar, Delhi, Delhi 110057",Delhi,India,110057,Ancient Millets & Ayurvedic Staples,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),390,26,36,14,9,27,4,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted foxtail millet; pure cow milk paneer cubes; slow-simmered spinach purée; roasted jeera; pink Himalayan salt,26g Dairy & Millet Protein; Pure A2 Cow Ghee; Zero Seed Oils; 9g Dietary Fiber; 100% Gluten-Free,₹266,4.7,378,"Prebiotic superfood bowl cooked with mineral-dense foxtail millets and iron-rich baby spinach. Zero refined oils, naturally gluten-free.",28.6086,77.20254
in-delhi-110057-2,High-Protein Sprouted Moong & Kala Chana Chaat,Healthy Bites (Vasant Vihar),"Priya Cinema Complex, Vasant Vihar, Delhi, Delhi 110057",Delhi,India,110057,Pulse & Sprouted Legumes,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),260,22,32,4,11,21,4,Cold-Pressed Kachi Ghani Mustard Oil,YES,YES,NO,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted whole green moong; boiled black chana; diced cucumber & tomatoes; pomegranate arils; fresh lime juice; rock salt,22g Clean Pulse Protein; Raw / Cold-Pressed Mustard Oil; Zero Seed Oils; 11g High Fiber; 100% Gluten-Free,₹365,4.7,285,Bioavailable sprouted pulse chaat tossed raw with digestive roasted cumin and cold-pressed Kachi Ghani oil. Zero cooking loss of vitamins.,28.61648,77.19739
in-delhi-110057-3,Artisanal Cow Milk Paneer Tikka Salad,Greenr Cafe (Vasant Vihar),"Priya Cinema Complex, Vasant Vihar, Delhi, Delhi 110057",Delhi,India,110057,Salad & Raw Greens,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),340,28,16,16,6,10,2,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Organic grass-fed cow paneer; charred bell peppers & onions; massaged baby greens; mint-coriander emulsion; roasted flaxseed,28g High-Quality Protein; Pure A2 Desi Cow Ghee; Zero Seed Oils; 6g Dietary Fiber; 100% Gluten-Free,₹282,4.8,310,"Freshly coagulated cow milk paneer lightly blistered in clay tandoor. Low carb, high calcium, zero wheat additives.",28.60535,77.20441
in-delhi-110057-4,Coastal Wild Kingfish Tawa Steak,Mojigao Coastal (Vasant Vihar),"Priya Cinema Complex, Vasant Vihar, Delhi, Delhi 110057",Delhi,India,110057,Wild Seafood & Coastal,Pescetarian,High Protein (35g-44g),410,44,8,18,4,4,1,Wood-Pressed Virgin Coconut Oil,YES,YES,YES,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Wild-caught coastal kingfish / surmai; freshly ground Malabar pepper; kokum extract; curry leaves; steamed French beans,44g Wild Marine Protein; Wood-Pressed Coconut Oil; Zero Seed Oils; Heart-Healthy Omega 3; 100% Gluten-Free,₹266,4.7,297,"Fresh caught kingfish pan-seared gently in cold-pressed virgin coconut oil with digestive kokum. Zero batter, zero trans-fats.",28.61998,77.21996
in-delhi-110057-5,Jowar Bhakri with Sprouted Matki Usal,Swaad Organic (Vasant Vihar),"Priya Cinema Complex, Vasant Vihar, Delhi, Delhi 110057",Delhi,India,110057,Ancient Millets & Ayurvedic Staples,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),320,21,42,6,10,32,5,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,100% Hand-pressed jowar (sorghum) flour; sprouted dew beans (matki); fresh ginger & garlic; tempered mustard seeds; green chili,21g Plant Protein; Pure A2 Ghee; Zero Seed Oils; 10g Millet Fiber; 100% Gluten-Free,₹204,4.8,389,"Ancient grain sorghum roti hand-patted and puffed on cast-iron tawa, served with enzymatic sprouted dew bean curry. 100% gluten-free.",28.60823,77.19608
in-gurugram-122002-1,Desi Clay Oven Chicken Tikka (Zero Batter),Fabcafe (Cyber Hub / DLF Phase 2),"DLF Cyber Hub, NH 8, Gurugram, Haryana 122002",Gurugram,India,122002,Clay Oven & Fire Grills,High-Protein Omnivore / Paleo,Super-High Protein (45g+),380,46,12,12,4,8,1,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Pasture-raised chicken breast; hung cow milk dahi; Kashmiri degi mirch; roasted ajwain; kassori methi; fresh lemon,46g Clean Protein; Zero Seed Oils; Clay Oven Roasting; Zero Added Sugar; 100% Gluten-Free,₹246,4.8,118,"Boneless chicken breast steeped in hung curd, ginger-garlic, and cold-ground spices. Roasted in traditional clay tandoor without maida or food colors.",28.4446,77.01317
in-gurugram-122002-2,Organic Palak Paneer & Foxtail Millet Khichdi,EatFit Organic (Cyber Hub / DLF Phase 2),"DLF Cyber Hub, NH 8, Gurugram, Haryana 122002",Gurugram,India,122002,Ancient Millets & Ayurvedic Staples,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),390,26,36,14,9,27,4,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted foxtail millet; pure cow milk paneer cubes; slow-simmered spinach purée; roasted jeera; pink Himalayan salt,26g Dairy & Millet Protein; Pure A2 Cow Ghee; Zero Seed Oils; 9g Dietary Fiber; 100% Gluten-Free,₹193,4.8,297,"Prebiotic superfood bowl cooked with mineral-dense foxtail millets and iron-rich baby spinach. Zero refined oils, naturally gluten-free.",28.47217,77.03555
in-gurugram-122002-3,High-Protein Sprouted Moong & Kala Chana Chaat,Healthy Bites (Cyber Hub / DLF Phase 2),"DLF Cyber Hub, NH 8, Gurugram, Haryana 122002",Gurugram,India,122002,Pulse & Sprouted Legumes,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),260,22,32,4,11,21,4,Cold-Pressed Kachi Ghani Mustard Oil,YES,YES,NO,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Sprouted whole green moong; boiled black chana; diced cucumber & tomatoes; pomegranate arils; fresh lime juice; rock salt,22g Clean Pulse Protein; Raw / Cold-Pressed Mustard Oil; Zero Seed Oils; 11g High Fiber; 100% Gluten-Free,₹272,4.9,284,Bioavailable sprouted pulse chaat tossed raw with digestive roasted cumin and cold-pressed Kachi Ghani oil. Zero cooking loss of vitamins.,28.47262,77.03898
in-gurugram-122002-4,Artisanal Cow Milk Paneer Tikka Salad,Greenr Cafe (Cyber Hub / DLF Phase 2),"DLF Cyber Hub, NH 8, Gurugram, Haryana 122002",Gurugram,India,122002,Salad & Raw Greens,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),340,28,16,16,6,10,2,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Organic grass-fed cow paneer; charred bell peppers & onions; massaged baby greens; mint-coriander emulsion; roasted flaxseed,28g High-Quality Protein; Pure A2 Desi Cow Ghee; Zero Seed Oils; 6g Dietary Fiber; 100% Gluten-Free,₹314,4.8,126,"Freshly coagulated cow milk paneer lightly blistered in clay tandoor. Low carb, high calcium, zero wheat additives.",28.46377,77.0143
in-gurugram-122002-5,Coastal Wild Kingfish Tawa Steak,Mojigao Coastal (Cyber Hub / DLF Phase 2),"DLF Cyber Hub, NH 8, Gurugram, Haryana 122002",Gurugram,India,122002,Wild Seafood & Coastal,Pescetarian,High Protein (35g-44g),410,44,8,18,4,4,1,Wood-Pressed Virgin Coconut Oil,YES,YES,YES,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Wild-caught coastal kingfish / surmai; freshly ground Malabar pepper; kokum extract; curry leaves; steamed French beans,44g Wild Marine Protein; Wood-Pressed Coconut Oil; Zero Seed Oils; Heart-Healthy Omega 3; 100% Gluten-Free,₹340,4.9,349,"Fresh caught kingfish pan-seared gently in cold-pressed virgin coconut oil with digestive kokum. Zero batter, zero trans-fats.",28.45394,77.01571
in-gurugram-122018-1,Artisanal Cow Milk Paneer Tikka Salad,Greenr Cafe (Sohna Road / Sector 49),"Spaze I-Tech Park, Sohna Rd, Gurugram, Haryana 122018",Gurugram,India,122018,Salad & Raw Greens,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),340,28,16,16,6,10,2,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Organic grass-fed cow paneer; charred bell peppers & onions; massaged baby greens; mint-coriander emulsion; roasted flaxseed,28g High-Quality Protein; Pure A2 Desi Cow Ghee; Zero Seed Oils; 6g Dietary Fiber; 100% Gluten-Free,₹218,4.7,242,"Freshly coagulated cow milk paneer lightly blistered in clay tandoor. Low carb, high calcium, zero wheat additives.",28.46751,77.02122
in-gurugram-122018-2,Coastal Wild Kingfish Tawa Steak,Mojigao Coastal (Sohna Road / Sector 49),"Spaze I-Tech Park, Sohna Rd, Gurugram, Haryana 122018",Gurugram,India,122018,Wild Seafood & Coastal,Pescetarian,High Protein (35g-44g),410,44,8,18,4,4,1,Wood-Pressed Virgin Coconut Oil,YES,YES,YES,NO,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Wild-caught coastal kingfish / surmai; freshly ground Malabar pepper; kokum extract; curry leaves; steamed French beans,44g Wild Marine Protein; Wood-Pressed Coconut Oil; Zero Seed Oils; Heart-Healthy Omega 3; 100% Gluten-Free,₹309,4.8,282,"Fresh caught kingfish pan-seared gently in cold-pressed virgin coconut oil with digestive kokum. Zero batter, zero trans-fats.",28.47277,77.0146
in-gurugram-122018-3,Jowar Bhakri with Sprouted Matki Usal,Swaad Organic (Sohna Road / Sector 49),"Spaze I-Tech Park, Sohna Rd, Gurugram, Haryana 122018",Gurugram,India,122018,Ancient Millets & Ayurvedic Staples,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),320,21,42,6,10,32,5,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,100% Hand-pressed jowar (sorghum) flour; sprouted dew beans (matki); fresh ginger & garlic; tempered mustard seeds; green chili,21g Plant Protein; Pure A2 Ghee; Zero Seed Oils; 10g Millet Fiber; 100% Gluten-Free,₹209,4.7,126,"Ancient grain sorghum roti hand-patted and puffed on cast-iron tawa, served with enzymatic sprouted dew bean curry. 100% gluten-free.",28.46105,77.01858
in-gurugram-122018-4,Steamed Ragi Mudde with Huruli (Horsegram) Saaru,Karnataka Millets (Sohna Road / Sector 49),"Spaze I-Tech Park, Sohna Rd, Gurugram, Haryana 122018",Gurugram,India,122018,Ancient Millets & Ayurvedic Staples,100% Plant-Based / Vegan,Balanced Clean Protein (20g-34g),290,23,38,4,12,26,5,Pure A2 Desi Cow Ghee,YES,YES,NO,YES,YES,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Finger millet (ragi) whole grain flour; horsegram (kulthi) slow broth; crushed peppercorns; fresh coriander roots; curry leaf tadka,23g High-Protein Broth; Pure A2 Cow Ghee; Zero Seed Oils; 12g High Fiber; 100% Gluten-Free,₹210,4.8,308,Legendary Ayurvedic endurance staple. Steamed mineral-rich ragi ball paired with high-protein horsegram broth. Zero seed oils.,28.44738,77.03537
in-gurugram-122018-5,High-Protein Sattu & Roasted Jeera Buttermilk Bowl,Bihar Sattu & Grain (Sohna Road / Sector 49),"Spaze I-Tech Park, Sohna Rd, Gurugram, Haryana 122018",Gurugram,India,122018,Pulse & Sprouted Legumes,Vegetarian (Dairy / Pure Ghee),Balanced Clean Protein (20g-34g),270,24,30,5,9,21,4,Cold-Pressed Kachi Ghani Mustard Oil,YES,YES,NO,NO,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Toasted Bengal gram (sattu) flour; churned A2 cow milk chaas; finely chopped shallots & green chilies; kala namak; roasted cumin,24g Clean Pulse Protein; Probiotic Chaas; Zero Seed Oils; 9g Prebiotic Fiber; 100% Gluten-Free,₹370,4.8,333,Cooling powerhouse protein meal with roasted chana flour suspended in churned dahi. Extremely low glycemic index and 100% gluten-free.,28.46475,77.01409
in-noida-201301-1,Desi Clay Oven Chicken Tikka (Zero Batter),Fabcafe (Sector 18),"Wave Silver Tower, Sector 18, Noida, Uttar Pradesh 201301",Noida,India,201301,Clay Oven & Fire Grills,High-Protein Omnivore / Paleo,Super-High Protein (45g+),380,46,12,12,4,8,1,Pure A2 Desi Cow Ghee,YES,YES,YES,YES,NO,Seed Oil Free; Gluten-Free; High Protein; High Fiber; Low Sugar; Millet / Whole Grain,Pasture-raised chicken breast; hung cow milk dahi; Kashmiri degi mirch; roasted ajwain; kassori methi; fresh lemon,46g Clean Protein; Zero Seed Oils; Clay Oven Roasting; Zero Added Sugar; 100% Gluten-Free,₹252,4.8,163,"Boneless chicken breast steeped in hung curd, ginger-garlic, and cold-ground spices. Roasted in traditional clay tandoor without maida or food colors.",28.52883,77.3907
